"sensor_id","data1","data2","date_time","location","data3"
"735410EC5CCA42C3","24.5","11.0","2018-02-19 17:54:10.764207","4","-7.7"
"EA000000DD740712","23.8","12.0","2018-02-19 17:54:10.914204","5","-7.2"
"EC000000DCFC8E12","23.5","13.0","2018-02-19 17:54:11.064201","6","-6.3"
"735410EC5CCA42C3","24.5","11.0","2018-02-19 17:55:10.763007","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 17:55:10.913004","5","-7.2"
"EC000000DCFC8E12","23.5","13.0","2018-02-19 17:55:11.063001","6","-6.4"
"735410EC5CCA42C3","24.5","11.0","2018-02-19 17:56:10.771807","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 17:56:10.921804","5","-7.2"
"EC000000DCFC8E12","23.5","13.0","2018-02-19 17:56:11.071801","6","-6.4"
"735410EC5CCA42C3","24.5","11.0","2018-02-19 17:57:10.770607","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 17:57:10.920604","5","-7.2"
"EC000000DCFC8E12","23.5","13.0","2018-02-19 17:57:11.070601","6","-6.4"
"735410EC5CCA42C3","24.5","11.0","2018-02-19 17:58:10.769407","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 17:58:10.919404","5","-7.2"
"EC000000DCFC8E12","23.5","13.0","2018-02-19 17:58:11.069401","6","-6.4"
"735410EC5CCA42C3","24.4","11.0","2018-02-19 17:59:10.768207","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 17:59:10.918204","5","-7.2"
"EC000000DCFC8E12","23.4","13.0","2018-02-19 17:59:11.068201","6","-6.4"
"735410EC5CCA42C3","24.4","11.0","2018-02-19 18:00:10.767007","4","-7.8"
"EA000000DD740712","23.8","12.0","2018-02-19 18:00:10.917004","5","-7.2"
"EC000000DCFC8E12","23.4","13.0","2018-02-19 18:00:11.067001","6","-6.5"
"735410EC5CCA42C3","24.4","11.0","2018-02-19 18:01:10.775807","4","-7.8"
"EA000000DD740712","23.7","12.0","2018-02-19 18:01:10.935804","5","-7.2"
"EC000000DCFC8E12","23.4","13.0","2018-02-19 18:01:11.085801","6","-6.5"
"735410EC5CCA42C3","24.4","11.0","2018-02-19 18:02:10.774607","4","-7.9"
"EA000000DD740712","23.7","12.0","2018-02-19 18:02:10.924604","5","-7.3"
"EC000000DCFC8E12","23.4","13.0","2018-02-19 18:02:11.074601","6","-6.5"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:03:10.773407","4","-7.9"
"EA000000DD740712","23.7","12.0","2018-02-19 18:03:10.923404","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:03:11.073401","6","-6.5"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:04:10.772207","4","-7.9"
"EA000000DD740712","23.7","12.0","2018-02-19 18:04:10.922204","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:04:11.072201","6","-6.5"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:05:10.781007","4","-7.9"
"EA000000DD740712","23.7","12.0","2018-02-19 18:05:10.931004","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:05:11.081001","6","-6.5"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:06:10.779807","4","-7.9"
"EA000000DD740712","23.7","12.0","2018-02-19 18:06:10.929804","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:06:11.069801","6","-6.5"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:07:10.778607","4","-7.9"
"EA000000DD740712","23.6","12.0","2018-02-19 18:07:10.928604","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:07:11.078601","6","-6.6"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:08:10.787407","4","-7.9"
"EA000000DD740712","23.6","12.0","2018-02-19 18:08:10.927404","5","-7.3"
"EC000000DCFC8E12","23.3","13.0","2018-02-19 18:08:11.077401","6","-6.6"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:09:10.786207","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:09:10.936204","5","-7.3"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:09:11.086201","6","-6.6"
"735410EC5CCA42C3","24.3","11.0","2018-02-19 18:10:10.785007","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:10:10.935004","5","-7.3"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:10:11.085001","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:11:10.783807","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:11:10.933804","5","-7.3"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:11:11.083801","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:12:10.782607","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:12:10.932604","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:12:11.082601","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:13:10.781407","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:13:10.931404","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:13:11.081401","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:14:10.790206","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:14:10.940203","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:14:11.080201","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:15:10.789006","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:15:10.939003","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:15:11.079001","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:16:10.787806","4","-8.0"
"EA000000DD740712","23.6","12.0","2018-02-19 18:16:10.937803","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:16:11.0878","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:17:10.796606","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:17:10.946603","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:17:11.0866","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:18:10.795406","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:18:10.945403","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:18:11.0854","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:19:10.794206","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:19:10.934203","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:19:11.0842","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:20:10.793006","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:20:10.943003","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:20:11.093","6","-6.6"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:21:10.791806","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:21:10.951803","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:21:11.1018","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:22:10.800606","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:22:10.940603","5","-7.4"
"EC000000DCFC8E12","23.2","13.0","2018-02-19 18:22:11.0906","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:23:10.799406","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:23:10.949403","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:23:11.0894","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:24:10.798206","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:24:10.948203","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:24:11.0982","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:25:10.797006","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:25:10.947003","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:25:11.097","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:26:10.795806","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:26:10.945803","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:26:11.0958","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:27:10.804606","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:27:10.944603","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:27:11.0946","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:28:10.803406","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:28:10.953403","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:28:11.1034","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:29:10.802206","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:29:10.952203","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:29:11.1022","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:30:10.811006","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:30:10.951003","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:30:11.101","6","-6.7"
"735410EC5CCA42C3","24.2","11.0","2018-02-19 18:31:10.809806","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:31:10.949803","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:31:11.0998","6","-6.7"
"735410EC5CCA42C3","24.1","11.0","2018-02-19 18:32:10.808606","4","-8.0"
"EA000000DD740712","23.5","12.0","2018-02-19 18:32:10.958603","5","-7.4"
"EC000000DCFC8E12","23.1","13.0","2018-02-19 18:32:11.1086","6","-6.7"
