GEIST-V4-MIB,,,,
,,,,
OID name,OID,access,type,units
t3hdSensorIntTemp,1.3.6.1.4.1.21239.5.1.8.1.6,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorIntHumidity,1.3.6.1.4.1.21239.5.1.8.1.7,read-only,Integer32(0..100),%
t3hdSensorIntDewPoint,1.3.6.1.4.1.21239.5.1.8.1.8,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorExtAAvail,1.3.6.1.4.1.21239.5.1.8.1.9,read-only,Gauge32,
t3hdSensorExtAName,1.3.6.1.4.1.21239.5.1.8.1.10,read-only,DisplayString,
t3hdSensorExtATemp,1.3.6.1.4.1.21239.5.1.8.1.11,read-only,Integer32(-40..200),0.1 Degrees
t3hdSensorExtBAvail,1.3.6.1.4.1.21239.5.1.8.1.12,read-only,Gauge32,
t3hdSensorExtBName,1.3.6.1.4.1.21239.5.1.8.1.13,read-only,DisplayString,
t3hdSensorExtBTemp,1.3.6.1.4.1.21239.5.1.8.1.14,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Temperature, Humidity and Dewpoint Sensor,,,,
thdSensorTable,1.3.6.1.4.1.21239.5.1.9,no-access,other,
ThdSensorEntry,1.3.6.1.4.1.21239.5.1.9.1,no-access,other,
thdSensorIndex,1.3.6.1.4.1.21239.5.1.9.1.1,read-only,Integer32(1..100),
thdSensorSerial,1.3.6.1.4.1.21239.5.1.9.1.2,read-only,DisplayString,
thdSensorName,1.3.6.1.4.1.21239.5.1.9.1.3,read-only,DisplayString,
thdSensorAvail,1.3.6.1.4.1.21239.5.1.9.1.4,read-only,Gauge32,
thdSensorTemp,1.3.6.1.4.1.21239.5.1.9.1.5,read-only,Integer32(-40..200),0.1 Degrees
thdSensorHumidity,1.3.6.1.4.1.21239.5.1.9.1.6,read-only,Integer32(0..100),%
thdSensorDewPoint,1.3.6.1.4.1.21239.5.1.9.1.7,read-only,Integer32(-40..200),0.1 Degrees
,,,,
Remote Power Manager Sensor,,,,
rpmSensorTable,1.3.6.1.4.1.21239.5.1.10,no-access,other,
RpmSensorEntry,1.3.6.1.4.1.21239.5.1.10.1,no-access,other,
rpmSensorIndex,1.3.6.1.4.1.21239.5.1.10.1.1,read-only,Integer32(1..100),
rpmSensorSerial,1.3.6.1.4.1.21239.5.1.10.1.2,read-only,DisplayString,
rpmSensorName,1.3.6.1.4.1.21239.5.1.10.1.3,read-only,DisplayString,
rpmSensorAvail,1.3.6.1.4.1.21239.5.1.10.1.4,read-only,Gauge32,
rpmSensorEnergy,1.3.6.1.4.1.21239.5.1.10.1.5,read-only,Gauge32,kWh
rpmSensorVoltage,1.3.6.1.4.1.21239.5.1.10.1.6,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMax,1.3.6.1.4.1.21239.5.1.10.1.7,read-only,Gauge32,Volts (rms)
rpmSensorVoltageMin,1.3.6.1.4.1.21239.5.1.10.1.8,read-only,Gauge32,Volts (rms)
rpmSensorVoltagePeak,1.3.6.1.4.1.21239.5.1.10.1.9,read-only,Gauge32,Volts
rpmSensorCurrent,1.3.6.1.4.1.21239.5.1.10.1.10,read-only,Gauge32,0.1 Amps (rms)
rpmSensorRealPower,1.3.6.1.4.1.21239.5.1.10.1.11,read-only,Gauge32,Watts
rpmSensorApparentPower,1.3.6.1.4.1.21239.5.1.10.1.12,read-only,Gauge32,Volt-Amps
